Energies generated by autodE on: 2025-05-23. Single point energies at PBE0-D3BJ/def2-TZVP and optimisations at PBE0-D3BJ/def2-SVP
Species, E_opt, G_cont, H_cont, E_sp
r0_C4H6,-155.686070657468,None,None,-155.853463070155
r1_C2H4,-78.427528125713,None,None,-78.513931987215
p0_C6H10,-234.2069504534,None,None,-234.451003692028
TS_5ZPuRE_ll_ad_2-3_4-5,-234.090784820425,None,None,-234.341901573471
